Country Group,Country,ISO,indicator code,Subject Descriptor,Units,Scale,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Burundi,BDI,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,615,644,668,739,2022.0,-3.373056,29.918886
Emerging Africa ,Burundi,BDI,NID_NGDP,Total investment,Percent of GDP,,19,20,22,23,2022.0,-3.373056,29.918886
Emerging Africa ,Burundi,BDI,PCPIPCH,"Inflation, average consumer prices",Percent change,,-1,7,8,19,2022.0,-3.373056,29.918886
Emerging Africa ,Burundi,BDI,LP,Population,Persons,Millions,12,12,12,13,2021.0,-3.373056,29.918886
Emerging Africa ,Cameroon,CMR,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,898258,884751,924093,988378,2022.0,7.369722,12.354722
Emerging Africa ,Cameroon,CMR,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1533,1539,1667,1588,2022.0,7.369722,12.354722
Emerging Africa ,Cameroon,CMR,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,230,228,226,223,2022.0,7.369722,12.354722
Emerging Africa ,Cameroon,CMR,NID_NGDP,Total investment,Percent of GDP,,19,18,18,18,2022.0,7.369722,12.354722
Emerging Africa ,Cameroon,CMR,PCPIPCH,"Inflation, average consumer prices",Percent change,,2,2,2,6,2022.0,7.369722,12.354722
Emerging Africa ,Cameroon,CMR,LP,Population,Persons,Millions,26,27,27,28,2022.0,7.369722,12.354722
Emerging Africa ,Central African Republic,CAF,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,281310,284210,291067,305572,2021.0,6.611111,20.939444
Emerging Africa ,Central African Republic,CAF,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,480,494,525,491,2021.0,6.611111,20.939444
Emerging Africa ,Central African Republic,CAF,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,286,287,284,283,2021.0,6.611111,20.939444
Emerging Africa ,Central African Republic,CAF,NID_NGDP,Total investment,Percent of GDP,,15,19,16,15,2021.0,6.611111,20.939444
Emerging Africa ,Central African Republic,CAF,PCPIPCH,"Inflation, average consumer prices",Percent change,,3,1,4,6,2022.0,6.611111,20.939444
Emerging Africa ,Central African Republic,CAF,LP,Population,Persons,Millions,5,5,5,5,2022.0,6.611111,20.939444
Emerging Africa ,Chad,TCD,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,403867,376396,386326,432331,2019.0,15.454166,18.732207
Emerging Africa ,Chad,TCD,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,689,655,697,695,2019.0,15.454166,18.732207
Emerging Africa ,Chad,TCD,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,243,235,241,251,2021.0,15.454166,18.732207
Emerging Africa ,Chad,TCD,NID_NGDP,Total investment,Percent of GDP,,23,23,22,19,2021.0,15.454166,18.732207
Emerging Africa ,Chad,TCD,PCPIPCH,"Inflation, average consumer prices",Percent change,,-1,4,-1,6,2021.0,15.454166,18.732207
Emerging Africa ,Chad,TCD,LP,Population,Persons,Millions,16,16,17,17,2019.0,15.454166,18.732207
Emerging Africa ,Comoros,COM,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,597494,585082,579884,604226,2021.0,-11.875001,43.872219
Emerging Africa ,Comoros,COM,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1360,1357,1395,1294,2021.0,-11.875001,43.872219
Emerging Africa ,Comoros,COM,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,192,191,183,180,2021.0,-11.875001,43.872219
Emerging Africa ,Comoros,COM,NID_NGDP,Total investment,Percent of GDP,,16,18,17,12,2021.0,-11.875001,43.872219
Emerging Africa ,Comoros,COM,PCPIPCH,"Inflation, average consumer prices",Percent change,,4,1,0,12,2021.0,-11.875001,43.872219
Emerging Africa ,Comoros,COM,LP,Population,Persons,Millions,1,1,1,1,2021.0,-11.875001,43.872219
Emerging Africa ,Ghana,GHA,LP,Population,Persons,Millions,30,31,31,32,2022.0,7.946527,-1.023194
Emerging Africa ,Ghana,GHA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,11819,12734,14706,19021,2022.0,7.946527,-1.023194
Emerging Africa ,Ghana,GHA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,2266,2275,2535,2252,2022.0,7.946527,-1.023194
Emerging Africa ,Ghana,GHA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,2,2,2,3,2022.0,7.946527,-1.023194
Emerging Africa ,Ghana,GHA,NID_NGDP,Total investment,Percent of GDP,,19,18,17,16,2022.0,7.946527,-1.023194
Emerging Africa ,Ghana,GHA,PCPIPCH,"Inflation, average consumer prices",Percent change,,7,10,10,32,2022.0,7.946527,-1.023194
Emerging Africa ,Equatorial Guinea,GNQ,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,4895487,4049508,4684652,4898941,2015.0,1.650801,10.267895
Emerging Africa ,Equatorial Guinea,GNQ,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,8355,7035,8448,7854,2015.0,1.650801,10.267895
Emerging Africa ,Equatorial Guinea,GNQ,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,253,225,258,252,2021.0,1.650801,10.267895
Emerging Africa ,Equatorial Guinea,GNQ,NID_NGDP,Total investment,Percent of GDP,,11,5,5,14,2021.0,1.650801,10.267895
Emerging Africa ,Equatorial Guinea,GNQ,PCPIPCH,"Inflation, average consumer prices",Percent change,,1,5,0,5,2022.0,1.650801,10.267895
Emerging Africa ,Equatorial Guinea,GNQ,LP,Population,Persons,Millions,1,1,1,1,2015.0,1.650801,10.267895
Emerging Africa ,Gabon,GAB,LP,Population,Persons,Millions,2,2,2,2,2015.0,-0.803689,11.609444
Emerging Africa ,Gabon,GAB,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,4737785,4182088,5252031,6081643,2015.0,-0.803689,11.609444
Emerging Africa ,Gabon,GAB,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,8087,7276,9476,9771,2015.0,-0.803689,11.609444
Emerging Africa ,Gabon,GAB,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,291,262,314,334,2021.0,-0.803689,11.609444
Emerging Africa ,Gabon,GAB,NID_NGDP,Total investment,Percent of GDP,,32,30,32,31,2021.0,-0.803689,11.609444
Emerging Africa ,Gabon,GAB,PCPIPCH,"Inflation, average consumer prices",Percent change,,2,2,1,4,2022.0,-0.803689,11.609444
Emerging Africa ,Eritrea,ERI,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,8543,0,0,0,2006.0,15.179384,39.782334
Emerging Africa ,Eritrea,ERI,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,567,0,0,0,2006.0,15.179384,39.782334
Emerging Africa ,Eritrea,ERI,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,5,0,0,0,2019.0,15.179384,39.782334
Emerging Africa ,Eritrea,ERI,NID_NGDP,Total investment,Percent of GDP,,5,0,0,0,2019.0,15.179384,39.782334
Emerging Africa ,Eritrea,ERI,PCPIPCH,"Inflation, average consumer prices",Percent change,,1,0,0,0,2019.0,15.179384,39.782334
Emerging Africa ,Eritrea,ERI,LP,Population,Persons,Millions,3,0,0,0,2006.0,15.179384,39.782334
Emerging Africa ,Guinea,GIN,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,9059989,9648202,10802679,12029446,2014.0,9.945587,-9.696645
Emerging Africa ,Guinea,GIN,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,987,1009,1106,1384,2014.0,9.945587,-9.696645
Emerging Africa ,Guinea,GIN,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,3614,3719,3888,3977,2021.0,9.945587,-9.696645
Emerging Africa ,Guinea,GIN,NID_NGDP,Total investment,Percent of GDP,,17,17,18,17,2021.0,9.945587,-9.696645
Emerging Africa ,Guinea,GIN,PCPIPCH,"Inflation, average consumer prices",Percent change,,9,11,13,11,2022.0,9.945587,-9.696645
Emerging Africa ,Guinea,GIN,LP,Population,Persons,Millions,14,14,14,15,2014.0,9.945587,-9.696645
Emerging Africa ,Ethiopia,ETH,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,27569,33845,42604,59160,2022.0,9.145,40.489673
Emerging Africa ,Ethiopia,ETH,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,949,969,974,1156,2022.0,9.145,40.489673
Emerging Africa ,Ethiopia,ETH,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,10,12,14,17,2022.0,9.145,40.489673
Emerging Africa ,Ethiopia,ETH,NID_NGDP,Total investment,Percent of GDP,,35,31,28,25,2022.0,9.145,40.489673
Emerging Africa ,Ethiopia,ETH,PCPIPCH,"Inflation, average consumer prices",Percent change,,16,20,27,34,2022.0,9.145,40.489673
Emerging Africa ,Ethiopia,ETH,LP,Population,Persons,Millions,98,100,102,104,2022.0,9.145,40.489673
Emerging Africa ,Guinea-Bissau,GNB,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,490360,482131,515497,563824,2017.0,11.803749,-15.180413
Emerging Africa ,Guinea-Bissau,GNB,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,837,839,930,906,2017.0,11.803749,-15.180413
Emerging Africa ,Guinea-Bissau,GNB,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,201,197,193,194,2021.0,11.803749,-15.180413
Emerging Africa ,Guinea-Bissau,GNB,NID_NGDP,Total investment,Percent of GDP,,16,18,18,18,2021.0,11.803749,-15.180413
Emerging Africa ,Guinea-Bissau,GNB,PCPIPCH,"Inflation, average consumer prices",Percent change,,0,1,3,8,2022.0,11.803749,-15.180413
Emerging Africa ,Guinea-Bissau,GNB,LP,Population,Persons,Millions,2,2,2,2,2017.0,11.803749,-15.180413
Emerging Africa ,Madagascar,MDG,LP,Population,Persons,Millions,27,27,28,29,2018.0,-18.766947,46.869107
Emerging Africa ,Madagascar,MDG,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,1924042,1808180,1978295,2142615,2018.0,-18.766947,46.869107
Emerging Africa ,Madagascar,MDG,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,532,477,517,523,2018.0,-18.766947,46.869107
Emerging Africa ,Madagascar,MDG,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,1122,1155,1179,1179,2022.0,-18.766947,46.869107
Emerging Africa ,Madagascar,MDG,NID_NGDP,Total investment,Percent of GDP,,23,18,15,21,2022.0,-18.766947,46.869107
Emerging Africa ,Madagascar,MDG,PCPIPCH,"Inflation, average consumer prices",Percent change,,6,4,6,8,2022.0,-18.766947,46.869107
Emerging Africa ,Mali,MLI,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,840,831,903,847,2022.0,17.570692,-3.996166
Emerging Africa ,Mali,MLI,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,492268,477641,500299,527479,2022.0,17.570692,-3.996166
Emerging Africa ,Mali,MLI,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,213,213,214,210,2022.0,17.570692,-3.996166
Emerging Africa ,Mali,MLI,NID_NGDP,Total investment,Percent of GDP,,23,17,21,15,2022.0,17.570692,-3.996166
Emerging Africa ,Mali,MLI,PCPIPCH,"Inflation, average consumer prices",Percent change,,-3,0,4,10,2022.0,17.570692,-3.996166
Emerging Africa ,Mali,MLI,LP,Population,Persons,Millions,21,21,22,23,2022.0,17.570692,-3.996166
Emerging Africa ,Lesotho,LSO,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,17143,16931,18105,19794,2016.0,-29.609988,28.233608
