Country Group,Country,ISO,indicator code,Subject Descriptor,Units,Scale,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Zimbabwe,ZWE,LP,Population,Persons,Millions,15,15,15,16,2017.0,-19.015438,29.154857
Emerging Africa ,Seychelles,SYC,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,271934,249908,258521,285209,2015.0,-4.679574,55.491977
Emerging Africa ,Seychelles,SYC,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,19362,14199,15306,19983,2015.0,-4.679574,55.491977
Emerging Africa ,Seychelles,SYC,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,8,8,8,7,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,SYC,NID_NGDP,Total investment,Percent of GDP,,27,22,25,23,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,SYC,PCPIPCH,"Inflation, average consumer prices",Percent change,,2,1,10,3,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,SYC,LP,Population,Persons,Millions,0,0,0,0,2015.0,-4.679574,55.491977
Emerging Africa ,Sierra Leone,SLE,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,4701127,5006663,5448679,6739533,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,SLE,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,521,509,509,480,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,SLE,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,2645,2896,2957,3354,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,SLE,NID_NGDP,Total investment,Percent of GDP,,13,12,11,12,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,SLE,PCPIPCH,"Inflation, average consumer prices",Percent change,,15,13,12,27,2022.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,SLE,LP,Population,Persons,Millions,8,8,8,8,2021.0,8.460555,-11.779889
Emerging Africa ,Togo,TGO,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,497031,503779,534467,572364,2021.0,8.619543,0.824782
Emerging Africa ,Togo,TGO,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,848,877,964,920,2021.0,8.619543,0.824782
Emerging Africa ,Togo,TGO,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,231,232,228,221,2022.0,8.619543,0.824782
Emerging Africa ,Togo,TGO,NID_NGDP,Total investment,Percent of GDP,,19,21,20,24,2022.0,8.619543,0.824782
Emerging Africa ,Togo,TGO,PCPIPCH,"Inflation, average consumer prices",Percent change,,1,2,5,8,2022.0,8.619543,0.824782
Emerging Africa ,Togo,TGO,LP,Population,Persons,Millions,8,8,9,9,2021.0,8.619543,0.824782
Emerging Africa ,Zambia,ZMB,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,16346,17552,22768,25202,2019.0,-13.133897,27.849332
Emerging Africa ,Zambia,ZMB,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1268,957,1137,1486,2019.0,-13.133897,27.849332
Emerging Africa ,Zambia,ZMB,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,5,5,6,6,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,ZMB,NID_NGDP,Total investment,Percent of GDP,,39,32,28,32,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,ZMB,PCPIPCH,"Inflation, average consumer prices",Percent change,,9,16,22,11,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,ZMB,LP,Population,Persons,Millions,18,19,19,20,2019.0,-13.133897,27.849332
