Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Uganda,NID_NGDP,UGA,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022. Historical data are in CY, but projections are converted by averaging two FYs (i.e. Avg[FY(t-1/t),FY(t/t+1)]= CY(t)). For example, the projection of 2027 is the average of 2026/27 and 2027/28. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Historical calendar year data are calculated by adding up quarterly data from Haver. For example, the calendar year 2018 GDP is the sum of 2018Q1, 2018Q2,2018Q3 and 2018Q4 GDP data. The GDP components(consumption, investment, exports and imports) are distributed proportionally based on the average share of two fiscal year GDP data. For example, CY2018 gross capital formation= CY2018 GDP *average(FY2017/18+FY 2018/19 gross capital formation)/average(FY2017/18+FY 2018/19 GDP). Start/end months of reporting year: January/December. Prior to 2009, the data are in fiscal year (FY) reporting basis converted to calendar year (CY) by averaging two FYs (e.g. CY2008 is the average of FY2007/08 and FY2008/09). Historical quarterly data are taken from Haver to have a smooth series. Base year: 2016. National Accounts were rebased on a FY basis and this rebasing was then applied to CY historical data. As a result real GDP and nominal GDP are not equal in CY 2016. Chain-weighted: No Primary domestic currency: Ugandan shilling Data last updated: 09/2023",26,28,27,27,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,LP,UGA,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Ugandan shilling Data last updated: 09/2023,40,41,42,44,2021.0,1.373333,32.290275
Emerging Latin America,Peru,PCPIPCH,PER,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,4,8,2022.0,-9.189967,-75.015152
Emerging Latin America,Peru,NGDP,PER,"Gross domestic product, current prices",National currency,Billions,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2023,776,720,876,938,2022.0,-9.189967,-75.015152
Emerging Latin America,Peru,NGDPD,PER,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",232,206,226,245,2022.0,-9.189967,-75.015152
Emerging Latin America,Peru,PPPEX,PER,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0,-9.189967,-75.015152
Emerging Latin America,Peru,NID_NGDP,PER,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2023,22,20,22,22,2022.0,-9.189967,-75.015152
Emerging Latin America,Peru,LP,PER,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Peruvian sol Data last updated: 09/2023,33,33,34,34,2017.0,-9.189967,-75.015152
Emerging Asia,Bangladesh,PCPIPCH,BGD,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,6,6,6,2022.0,23.684994,90.356331
Emerging Asia,Bangladesh,NGDP,BGD,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2015/16. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2023,29514,31705,35302,39717,2022.0,23.684994,90.356331
Emerging Asia,Bangladesh,NGDPD,BGD,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",351,374,416,460,2022.0,23.684994,90.356331
Emerging Asia,Bangladesh,PPPEX,BGD,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",31,32,32,31,2022.0,23.684994,90.356331
Emerging Asia,Bangladesh,NID_NGDP,BGD,Total investment,Percent of GDP,,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2015/16. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2023,32,31,31,32,2022.0,23.684994,90.356331
Emerging Asia,Bangladesh,LP,BGD,Population,Persons,Millions,Source: International Financial Institution Latest actual data: FY2019/20 Primary domestic currency: Bangladesh taka Data last updated: 09/2023,163,165,167,169,2020.0,23.684994,90.356331
Emerging Asia,Kiribati,NID_NGDP,KIR,Total investment,Percent of GDP,,,0,0,0,0,,-3.370417,-168.734039
Emerging Asia,Kiribati,LP,KIR,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Australian dollar Data last updated: 08/2023,0,0,0,0,2020.0,-3.370417,-168.734039
Emerging Asia,Kiribati,NGDP,KIR,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2023,0,0,0,0,2021.0,-3.370417,-168.734039
Emerging Asia,Kiribati,NGDPD,KIR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2021.0,-3.370417,-168.734039
Emerging Asia,Kiribati,PPPEX,KIR,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2021.0,-3.370417,-168.734039
Emerging Asia,Kiribati,PCPIPCH,KIR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-2,3,2,5,2022.0,-3.370417,-168.734039
Emerging Asia,Samoa,NID_NGDP,WSM,Total investment,Percent of GDP,,,0,0,0,0,,-13.759029,-172.104629
