Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Mauritius,PCPIPCH,MUS,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,3,4,11,2022.0,-20.348404,57.552152
Emerging Africa ,Mauritius,LP,MUS,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Mauritian rupee Data last updated: 09/2023,1,1,1,1,2021.0,-20.348404,57.552152
Emerging Africa ,Namibia,NGDPPC,NAM,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",73695,69572,72127,79431,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NGDPDPC,NAM,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5099,4226,4879,4854,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,PPPEX,NAM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",7,7,7,7,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NID_NGDP,NAM,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Namibian dollar Data last updated: 09/2023,13,12,14,13,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,PCPIPCH,NAM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,2,4,6,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,LP,NAM,Population,Persons,Millions,Source: IMF Staff Estimates Latest actual data: 2022 Primary domestic currency: Namibian dollar Data last updated: 09/2023,2,3,3,3,2022.0,-22.95764,18.49041
Emerging Africa ,Niger,NGDPPC,NER,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",324653,326809,329108,368624,2009.0,17.607789,8.081666
Emerging Africa ,Niger,NGDPDPC,NER,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",554,569,594,592,2009.0,17.607789,8.081666
Emerging Africa ,Niger,PPPEX,NER,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",254,253,250,243,2021.0,17.607789,8.081666
Emerging Africa ,Niger,NID_NGDP,NER,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021. 2021 National Accounts reflect preliminary estimates from the authorities National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,30,31,32,31,2021.0,17.607789,8.081666
Emerging Africa ,Niger,PCPIPCH,NER,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-3,3,4,4,2022.0,17.607789,8.081666
Emerging Africa ,Niger,LP,NER,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2009 Primary domestic currency: CFA franc Data last updated: 09/2023,23,24,25,26,2009.0,17.607789,8.081666
Emerging Africa ,Senegal,PPPEX,SEN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",240,240,234,237,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,NGDPPC,SEN,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",841464,842156,888637,976921,2020.0,14.497401,-14.452362
Emerging Africa ,Senegal,NGDPDPC,SEN,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1436,1465,1603,1570,2020.0,14.497401,-14.452362
Emerging Africa ,Senegal,NID_NGDP,SEN,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,32,35,35,47,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,PCPIPCH,SEN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,3,2,10,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,LP,SEN,Population,Persons,Millions,Source: World Development Indicators. Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 09/2023,16,17,17,18,2020.0,14.497401,-14.452362
Emerging Africa ,Tanzania,NGDPDPC,TZA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1078,1130,1171,1253,2012.0,-6.369028,34.888822
Emerging Africa ,Tanzania,NGDPPC,TZA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2479327,2606268,2704278,2901039,2012.0,-6.369028,34.888822
Emerging Africa ,Tanzania,PPPEX,TZA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",873,890,867,855,2021.0,-6.369028,34.888822
Emerging Africa ,Tanzania,NID_NGDP,TZA,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Original base year 1992 Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Tanzanian shilling Data last updated: 09/2023,40,39,40,37,2021.0,-6.369028,34.888822
Emerging Africa ,Tanzania,PCPIPCH,TZA,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,4,4,2022.0,-6.369028,34.888822
Emerging Africa ,Tanzania,LP,TZA,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2012 Primary domestic currency: Tanzanian shilling Data last updated: 09/2023,56,58,60,62,2012.0,-6.369028,34.888822
Emerging Africa ,Nigeria,NGDPPC,NGA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",724703,748289,832898,933646,2012.0,9.081999,8.675277
Emerging Africa ,Nigeria,NGDPDPC,NGA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2230,2083,2088,2202,2012.0,9.081999,8.675277
Emerging Africa ,Nigeria,PPPEX,NGA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",135,144,152,158,2022.0,9.081999,8.675277
Emerging Africa ,Nigeria,NID_NGDP,NGA,Total investment,Percent of GDP,,"Source: National Statistics Office. Official re-based (2010) data for 2010-13 was published in July 2014, based on SNA 2008. Official back casted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official back casted data. Latest actual data: 2022 Notes: Official back casted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official back casted data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Nigerian naira Data last updated: 09/2023",25,27,27,20,2022.0,9.081999,8.675277
Emerging Africa ,Nigeria,PCPIPCH,NGA,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11,13,17,19,2022.0,9.081999,8.675277
Emerging Africa ,Nigeria,LP,NGA,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2012 Primary domestic currency: Nigerian naira Data last updated: 09/2023,201,206,211,217,2012.0,9.081999,8.675277
Emerging Africa ,Rwanda,NGDPPC,RWA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",751956,757791,843640,1035452,2012.0,-1.940278,29.873888
Emerging Africa ,Rwanda,NGDPDPC,RWA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",836,803,853,1005,2012.0,-1.940278,29.873888
Emerging Africa ,Rwanda,PPPEX,RWA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",317,334,329,357,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,NID_NGDP,RWA,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: No Primary domestic currency: Rwandan franc Data last updated: 08/2023,23,25,26,24,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,PCPIPCH,RWA,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,8,1,14,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,LP,RWA,Population,Persons,Millions,Source: Ministry of Finance or Treasury Latest actual data: 2012 Primary domestic currency: Rwandan franc Data last updated: 08/2023,12,13,13,13,2012.0,-1.940278,29.873888
Emerging Africa ,South Africa,LP,ZAF,Population,Persons,Millions,"Source: IFS until 2000, then National Statistics Office from 2002. Latest actual data: 2022 Primary domestic currency: South African rand Data last updated: 09/2023",59,60,60,61,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,NGDPPC,ZAF,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",95707,93388,103234,109375,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,NGDPDPC,ZAF,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6623,5672,6984,6684,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,PPPEX,ZAF,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",7,7,7,7,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,NID_NGDP,ZAF,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: South African rand Data last updated: 09/2023,16,13,13,15,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,PCPIPCH,ZAF,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,5,7,2022.0,-30.559482,22.937506
Emerging Africa ,Zimbabwe,NID_NGDP,ZWE,Total investment,Percent of GDP,,,0,0,0,0,,-19.015438,29.154857
Emerging Africa ,Zimbabwe,NGDPPC,ZWE,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14241,90863,205756,777191,2017.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,NGDPDPC,ZWE,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1747,1771,2323,1991,2017.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,PPPEX,ZWE,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",6,43,88,299,2022.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,PCPIPCH,ZWE,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",255,557,99,193,2022.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,LP,ZWE,Population,Persons,Millions,"Source: National Statistics Office Latest actual data: 2017 Notes: From 2001, data are unreliable. Primary domestic currency: Zimbabwe dollar Data last updated: 09/2023",15,15,15,16,2017.0,-19.015438,29.154857
Emerging Africa ,Seychelles,NGDPPC,SYC,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",271934,249908,258521,285209,2015.0,-4.679574,55.491977
Emerging Africa ,Seychelles,NGDPDPC,SYC,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19362,14199,15306,19983,2015.0,-4.679574,55.491977
Emerging Africa ,Seychelles,PPPEX,SYC,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",8,8,8,7,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,NID_NGDP,SYC,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Seychelles rupee Data last updated: 09/2023,27,22,25,23,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,PCPIPCH,SYC,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,10,3,2021.0,-4.679574,55.491977
Emerging Africa ,Seychelles,LP,SYC,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2015 Primary domestic currency: Seychelles rupee Data last updated: 09/2023,0,0,0,0,2015.0,-4.679574,55.491977
Emerging Africa ,Sierra Leone,NGDPPC,SLE,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4701127,5006663,5448679,6739533,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,NGDPDPC,SLE,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",521,509,509,480,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,PPPEX,SLE,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2645,2896,2957,3354,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,NID_NGDP,SLE,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2010 Primary domestic currency: Sierra Leonean leone Data last updated: 08/2023",13,12,11,12,2021.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,PCPIPCH,SLE,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15,13,12,27,2022.0,8.460555,-11.779889
Emerging Africa ,Sierra Leone,LP,SLE,Population,Persons,Millions,Source: UN World Population Prospects Latest actual data: 2021 Primary domestic currency: Sierra Leonean leone Data last updated: 08/2023,8,8,8,8,2021.0,8.460555,-11.779889
Emerging Africa ,Togo,NGDPPC,TGO,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",497031,503779,534467,572364,2021.0,8.619543,0.824782
Emerging Africa ,Togo,NGDPDPC,TGO,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",848,877,964,920,2021.0,8.619543,0.824782
Emerging Africa ,Togo,PPPEX,TGO,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",231,232,228,221,2022.0,8.619543,0.824782
Emerging Africa ,Togo,NID_NGDP,TGO,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,19,21,20,24,2022.0,8.619543,0.824782
Emerging Africa ,Togo,PCPIPCH,TGO,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,2,5,8,2022.0,8.619543,0.824782
Emerging Africa ,Togo,LP,TGO,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: CFA franc Data last updated: 09/2023,8,8,9,9,2021.0,8.619543,0.824782
Emerging Africa ,Zambia,NGDPPC,ZMB,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",16346,17552,22768,25202,2019.0,-13.133897,27.849332
Emerging Africa ,Zambia,NGDPDPC,ZMB,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1268,957,1137,1486,2019.0,-13.133897,27.849332
Emerging Africa ,Zambia,PPPEX,ZMB,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",5,5,6,6,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,NID_NGDP,ZMB,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Zambian kwacha Data last updated: 09/2023,39,32,28,32,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,PCPIPCH,ZMB,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9,16,22,11,2021.0,-13.133897,27.849332
Emerging Africa ,Zambia,LP,ZMB,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2019 Primary domestic currency: Zambian kwacha Data last updated: 09/2023,18,19,19,20,2019.0,-13.133897,27.849332
Emerging Europe,Albania,NGDP,ALB,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2023",1692,1647,1856,2138,2022.0,41.153332,20.168331
Emerging Europe,Albania,NGDPD,ALB,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15,15,18,19,2022.0,41.153332,20.168331
Emerging Europe,Albania,PPPEX,ALB,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",41,40,40,41,2022.0,41.153332,20.168331
Emerging Europe,Albania,NID_NGDP,ALB,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2023",23,23,25,25,2022.0,41.153332,20.168331
Emerging Europe,Albania,PCPIPCH,ALB,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,2,2,7,2022.0,41.153332,20.168331
Emerging Europe,Albania,LP,ALB,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2021 Primary domestic currency: Albanian lek Data last updated: 09/2023,3,3,3,3,2021.0,41.153332,20.168331
Emerging Europe,Belarus,NGDP,BLR,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",135,150,173,191,2022.0,53.709807,27.953389
Emerging Europe,Belarus,NGDPD,BLR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64,61,68,73,2022.0,53.709807,27.953389
Emerging Europe,Belarus,PPPEX,BLR,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0,53.709807,27.953389
Emerging Europe,Belarus,NID_NGDP,BLR,Total investment,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",29,27,25,22,2022.0,53.709807,27.953389
Emerging Europe,Belarus,PCPIPCH,BLR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6,6,9,15,2022.0,53.709807,27.953389
Emerging Europe,Belarus,LP,BLR,Population,Persons,Millions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",9,9,9,9,2022.0,53.709807,27.953389
Emerging Europe,Bosnia and Herzegovina,NGDP,BIH,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023",36,35,39,46,2022.0,43.915886,17.679076
Emerging Europe,Bosnia and Herzegovina,NGDPD,BIH,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20,20,24,25,2022.0,43.915886,17.679076
Emerging Europe,Bosnia and Herzegovina,PPPEX,BIH,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0,43.915886,17.679076
Emerging Europe,Bosnia and Herzegovina,NID_NGDP,BIH,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023",24,23,26,28,2022.0,43.915886,17.679076
Emerging Europe,Bosnia and Herzegovina,PCPIPCH,BIH,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-1,2,14,2022.0,43.915886,17.679076
Emerging Europe,Bosnia and Herzegovina,LP,BIH,Population,Persons,Millions,Source: United Nations Latest actual data: 2022 Notes: No census has been taken since the 1990-s (pre-war); data estimated by national authority. Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023,3,3,3,3,2022.0,43.915886,17.679076
Emerging Europe,Bulgaria,NGDP,BGR,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2023",120,121,139,165,2022.0,42.733883,25.48583
Emerging Europe,Bulgaria,NGDPD,BGR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69,70,84,89,2022.0,42.733883,25.48583
Emerging Europe,Bulgaria,PPPEX,BGR,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0,42.733883,25.48583
Emerging Europe,Bulgaria,NID_NGDP,BGR,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2023",21,20,21,21,2022.0,42.733883,25.48583
Emerging Europe,Bulgaria,PCPIPCH,BGR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,3,13,2022.0,42.733883,25.48583
Emerging Europe,Bulgaria,LP,BGR,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Bulgarian lev Data last updated: 09/2023,7,7,7,6,2022.0,42.733883,25.48583
Emerging Europe,Hungary,NGDP,HUN,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2023",47674,48425,55255,66616,2022.0,47.162494,19.503304
Emerging Europe,Hungary,NGDPD,HUN,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164,157,182,180,2022.0,47.162494,19.503304
Emerging Europe,Hungary,PPPEX,HUN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",142,149,152,163,2022.0,47.162494,19.503304
Emerging Europe,Hungary,NID_NGDP,HUN,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2023",28,27,30,34,2022.0,47.162494,19.503304
Emerging Europe,Hungary,PCPIPCH,HUN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,5,15,2022.0,47.162494,19.503304
Emerging Europe,Hungary,LP,HUN,Population,Persons,Millions,"Source: National Statistics Office. Population from 1995 to 2021 is from the HCSO, and is for January 1 of each year. (a mid-year population series is also available). Latest actual data: 2022 Primary domestic currency: Hungarian forint Data last updated: 09/2023",10,10,10,10,2022.0,47.162494,19.503304
Emerging Europe,Kosovo,NGDP,UVK,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,7,7,8,9,2022.0,42.602636,20.902977
Emerging Europe,Kosovo,NGDPD,UVK,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8,8,9,9,2022.0,42.602636,20.902977
Emerging Europe,Kosovo,PPPEX,UVK,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0,42.602636,20.902977
