Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,SEN,PCPIPCH,Senegal,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,3,2,10,2021.0
Emerging Africa ,SEN,LP,Senegal,Population,Persons,Millions,Source: World Development Indicators. Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 09/2023,16,17,17,18,2020.0
Emerging Africa ,SYC,NGDPPC,Seychelles,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",271934,249908,258521,285209,2015.0
Emerging Africa ,SYC,NGDPDPC,Seychelles,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19362,14199,15306,19983,2015.0
Emerging Africa ,SYC,PPPEX,Seychelles,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",8,8,8,7,2021.0
Emerging Africa ,SYC,NID_NGDP,Seychelles,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Seychelles rupee Data last updated: 09/2023,27,22,25,23,2021.0
Emerging Africa ,SYC,PCPIPCH,Seychelles,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,10,3,2021.0
Emerging Africa ,SYC,LP,Seychelles,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2015 Primary domestic currency: Seychelles rupee Data last updated: 09/2023,0,0,0,0,2015.0
Emerging Africa ,SLE,NGDPPC,Sierra Leone,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4701127,5006663,5448679,6739533,2021.0
Emerging Africa ,SLE,NGDPDPC,Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",521,509,509,480,2021.0
Emerging Africa ,SLE,PPPEX,Sierra Leone,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2645,2896,2957,3354,2021.0
Emerging Africa ,SLE,NID_NGDP,Sierra Leone,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2010 Primary domestic currency: Sierra Leonean leone Data last updated: 08/2023",13,12,11,12,2021.0
Emerging Africa ,SLE,PCPIPCH,Sierra Leone,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15,13,12,27,2022.0
Emerging Africa ,SLE,LP,Sierra Leone,Population,Persons,Millions,Source: UN World Population Prospects Latest actual data: 2021 Primary domestic currency: Sierra Leonean leone Data last updated: 08/2023,8,8,8,8,2021.0
Emerging Africa ,ZAF,NGDPPC,South Africa,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",95707,93388,103234,109375,2022.0
Emerging Africa ,ZAF,NGDPDPC,South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6623,5672,6984,6684,2022.0
Emerging Africa ,ZAF,PPPEX,South Africa,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",7,7,7,7,2022.0
Emerging Africa ,ZAF,NID_NGDP,South Africa,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: South African rand Data last updated: 09/2023,16,13,13,15,2022.0
Emerging Africa ,ZAF,PCPIPCH,South Africa,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,5,7,2022.0
Emerging Africa ,SSD,NGDPPC,South Sudan,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",47772,64441,129499,313371,2008.0
Emerging Africa ,SSD,NGDPDPC,South Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",302,388,419,585,2008.0
Emerging Africa ,SSD,PPPEX,South Sudan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",108,158,296,687,2021.0
Emerging Africa ,SSD,NID_NGDP,South Sudan,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. National Bureau of Statistics Latest actual data: 2021 Notes: Preliminary results by NBS, will be revised with time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December. Authorities report on fiscal year July/June Base year: 2010 Chain-weighted: No Primary domestic currency: South Sudanese pound Data last updated: 09/2023",20,36,61,40,2021.0
Emerging Africa ,SSD,PCPIPCH,South Sudan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",49,24,30,-3,2022.0
Emerging Africa ,SSD,LP,South Sudan,Population,Persons,Millions,Source: Population Census 2008 Latest actual data: 2008 Primary domestic currency: South Sudanese pound Data last updated: 09/2023,13,14,14,15,2008.0
Emerging Africa ,TZA,NGDPPC,Tanzania,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2479327,2606268,2704278,2901039,2012.0
Emerging Africa ,TZA,PPPEX,Tanzania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",873,890,867,855,2021.0
Emerging Africa ,TZA,NID_NGDP,Tanzania,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Original base year 1992 Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Tanzanian shilling Data last updated: 09/2023,40,39,40,37,2021.0
Emerging Africa ,TZA,PCPIPCH,Tanzania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,4,4,2022.0
Emerging Africa ,TZA,LP,Tanzania,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2012 Primary domestic currency: Tanzanian shilling Data last updated: 09/2023,56,58,60,62,2012.0
Emerging Africa ,TGO,NGDPPC,Togo,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",497031,503779,534467,572364,2021.0
Emerging Africa ,TGO,NGDPDPC,Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",848,877,964,920,2021.0
Emerging Africa ,TGO,PPPEX,Togo,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",231,232,228,221,2022.0
Emerging Africa ,TGO,NID_NGDP,Togo,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,19,21,20,24,2022.0
Emerging Africa ,TGO,PCPIPCH,Togo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,2,5,8,2022.0
Emerging Africa ,TGO,LP,Togo,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: CFA franc Data last updated: 09/2023,8,8,9,9,2021.0
Emerging Europe,MKD,NGDPD,North Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13,12,14,14,2022.0
Emerging Africa ,UGA,NGDPPC,Uganda,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3517582,3427692,3605267,4070271,2021.0
Emerging Africa ,UGA,NGDPDPC,Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",952,920,1005,1103,2021.0
Emerging Africa ,UGA,PPPEX,Uganda,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1318,1328,1302,1330,2022.0
Emerging Africa ,UGA,NID_NGDP,Uganda,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022. Historical data are in CY, but projections are converted by averaging two FYs (i.e. Avg[FY(t-1/t),FY(t/t+1)]= CY(t)). For example, the projection of 2027 is the average of 2026/27 and 2027/28. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Historical calendar year data are calculated by adding up quarterly data from Haver. For example, the calendar year 2018 GDP is the sum of 2018Q1, 2018Q2,2018Q3 and 2018Q4 GDP data. The GDP components(consumption, investment, exports and imports) are distributed proportionally based on the average share of two fiscal year GDP data. For example, CY2018 gross capital formation= CY2018 GDP *average(FY2017/18+FY 2018/19 gross capital formation)/average(FY2017/18+FY 2018/19 GDP). Start/end months of reporting year: January/December. Prior to 2009, the data are in fiscal year (FY) reporting basis converted to calendar year (CY) by averaging two FYs (e.g. CY2008 is the average of FY2007/08 and FY2008/09). Historical quarterly data are taken from Haver to have a smooth series. Base year: 2016. National Accounts were rebased on a FY basis and this rebasing was then applied to CY historical data. As a result real GDP and nominal GDP are not equal in CY 2016. Chain-weighted: No Primary domestic currency: Ugandan shilling Data last updated: 09/2023",26,28,27,27,2022.0
Emerging Africa ,UGA,LP,Uganda,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Ugandan shilling Data last updated: 09/2023,40,41,42,44,2021.0
Emerging Africa ,ZMB,NGDPPC,Zambia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",16346,17552,22768,25202,2019.0
Emerging Africa ,ZMB,NGDPDPC,Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1268,957,1137,1486,2019.0
Emerging Africa ,ZMB,PPPEX,Zambia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",5,5,6,6,2021.0
Emerging Africa ,ZMB,NID_NGDP,Zambia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Zambian kwacha Data last updated: 09/2023,39,32,28,32,2021.0
Emerging Africa ,ZMB,PCPIPCH,Zambia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9,16,22,11,2021.0
Emerging Africa ,ZMB,LP,Zambia,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2019 Primary domestic currency: Zambian kwacha Data last updated: 09/2023,18,19,19,20,2019.0
Emerging Africa ,ZWE,NGDPPC,Zimbabwe,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14241,90863,205756,777191,2017.0
Emerging Africa ,ZWE,NGDPDPC,Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1747,1771,2323,1991,2017.0
Emerging Africa ,ZWE,PPPEX,Zimbabwe,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",6,43,88,299,2022.0
Emerging Africa ,ZWE,PCPIPCH,Zimbabwe,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",255,557,99,193,2022.0
Emerging Africa ,ZWE,LP,Zimbabwe,Population,Persons,Millions,"Source: National Statistics Office Latest actual data: 2017 Notes: From 2001, data are unreliable. Primary domestic currency: Zimbabwe dollar Data last updated: 09/2023",15,15,15,16,2017.0
Emerging Europe,ALB,NGDP,Albania,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2023",1692,1647,1856,2138,2022.0
Emerging Europe,ALB,NGDPD,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15,15,18,19,2022.0
Emerging Europe,ALB,PPPEX,Albania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",41,40,40,41,2022.0
Emerging Europe,ALB,NID_NGDP,Albania,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2023",23,23,25,25,2022.0
Emerging Europe,ALB,PCPIPCH,Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,2,2,7,2022.0
Emerging Europe,ALB,LP,Albania,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2021 Primary domestic currency: Albanian lek Data last updated: 09/2023,3,3,3,3,2021.0
Emerging Europe,BLR,NGDP,Belarus,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",135,150,173,191,2022.0
Emerging Europe,BLR,NGDPD,Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64,61,68,73,2022.0
Emerging Europe,BLR,PPPEX,Belarus,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Europe,BLR,NID_NGDP,Belarus,Total investment,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",29,27,25,22,2022.0
Emerging Europe,BLR,PCPIPCH,Belarus,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6,6,9,15,2022.0
Emerging Europe,BLR,LP,Belarus,Population,Persons,Millions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Primary domestic currency: Belarusian ruble Data last updated: 09/2023",9,9,9,9,2022.0
Emerging Europe,BIH,NGDP,Bosnia and Herzegovina,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023",36,35,39,46,2022.0
Emerging Europe,BIH,NGDPD,Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20,20,24,25,2022.0
Emerging Europe,BIH,PPPEX,Bosnia and Herzegovina,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Europe,BIH,NID_NGDP,Bosnia and Herzegovina,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023",24,23,26,28,2022.0
Emerging Europe,BIH,PCPIPCH,Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-1,2,14,2022.0
Emerging Europe,BIH,LP,Bosnia and Herzegovina,Population,Persons,Millions,Source: United Nations Latest actual data: 2022 Notes: No census has been taken since the 1990-s (pre-war); data estimated by national authority. Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023,3,3,3,3,2022.0
Emerging Europe,BGR,NGDP,Bulgaria,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2023",120,121,139,165,2022.0
Emerging Europe,BGR,NGDPD,Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69,70,84,89,2022.0
Emerging Europe,BGR,PPPEX,Bulgaria,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Europe,BGR,NID_NGDP,Bulgaria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2023",21,20,21,21,2022.0
Emerging Europe,BGR,PCPIPCH,Bulgaria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,3,13,2022.0
Emerging Europe,BGR,LP,Bulgaria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Bulgarian lev Data last updated: 09/2023,7,7,7,6,2022.0
Emerging Europe,HUN,NGDP,Hungary,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2023",47674,48425,55255,66616,2022.0
Emerging Europe,HUN,NGDPD,Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164,157,182,180,2022.0
Emerging Europe,HUN,PPPEX,Hungary,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",142,149,152,163,2022.0
Emerging Europe,HUN,NID_NGDP,Hungary,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2023",28,27,30,34,2022.0
Emerging Europe,HUN,PCPIPCH,Hungary,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,5,15,2022.0
Emerging Europe,HUN,LP,Hungary,Population,Persons,Millions,"Source: National Statistics Office. Population from 1995 to 2021 is from the HCSO, and is for January 1 of each year. (a mid-year population series is also available). Latest actual data: 2022 Primary domestic currency: Hungarian forint Data last updated: 09/2023",10,10,10,10,2022.0
Emerging Europe,UVK,NGDP,Kosovo,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,7,7,8,9,2022.0
Emerging Europe,UVK,NGDPD,Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8,8,9,9,2022.0
Emerging Europe,UVK,PPPEX,Kosovo,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0
Emerging Europe,UVK,NID_NGDP,Kosovo,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,35,33,36,35,2022.0
Emerging Europe,UVK,PCPIPCH,Kosovo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,0,3,12,2022.0
Emerging Europe,UVK,LP,Kosovo,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Euro Data last updated: 09/2023,2,2,2,2,2021.0
Emerging Europe,MDA,NGDP,Moldova,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 Notes: National accounts data from 2010 onwards sourced from the latest update by the National Bureau of Statistics. National accounts data prior to 2010 have been back spliced by IMF staff. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995. The National Statistics Office is using 2010 as a base year while this submission is based on 1995. Chain-weighted: No Primary domestic currency: Moldovan leu Data last updated: 08/2023,206,200,242,276,2022.0
Emerging Europe,MDA,NGDPD,Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12,12,14,15,2022.0
Emerging Europe,MDA,PPPEX,Moldova,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",6,6,6,7,2022.0
Emerging Europe,MDA,NID_NGDP,Moldova,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 Notes: National accounts data from 2010 onwards sourced from the latest update by the National Bureau of Statistics. National accounts data prior to 2010 have been back spliced by IMF staff. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995. The National Statistics Office is using 2010 as a base year while this submission is based on 1995. Chain-weighted: No Primary domestic currency: Moldovan leu Data last updated: 08/2023,25,23,26,24,2022.0
Emerging Europe,MDA,PCPIPCH,Moldova,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,4,5,29,2022.0
Emerging Europe,MDA,LP,Moldova,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Primary domestic currency: Moldovan leu Data last updated: 08/2023,3,3,3,3,2019.0
Emerging Europe,MNE,NGDP,Montenegro,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. MONSTAT Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,5,4,5,6,2021.0
Emerging Europe,MNE,NGDPD,Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6,5,6,6,2021.0
Emerging Europe,MNE,PPPEX,Montenegro,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2021.0
Emerging Europe,MNE,NID_NGDP,Montenegro,Total investment,Percent of GDP,,Source: National Statistics Office. MONSTAT Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,32,31,27,29,2021.0
Emerging Europe,MNE,PCPIPCH,Montenegro,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,0,2,13,2022.0
Emerging Europe,MNE,LP,Montenegro,Population,Persons,Millions,Source: National Statistics Office. MONSTAT Latest actual data: 2021 Primary domestic currency: Euro Data last updated: 09/2023,1,1,1,1,2021.0
Emerging Europe,MKD,NGDP,North Macedonia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Macedonian denar Data last updated: 09/2023,693,669,720,795,2022.0
Emerging Europe,MKD,PPPEX,North Macedonia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",19,19,19,19,2022.0
Emerging Europe,MKD,NID_NGDP,North Macedonia,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Europe,MKD,PCPIPCH,North Macedonia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,3,14,2022.0
Emerging Europe,MKD,LP,North Macedonia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Macedonian denar Data last updated: 09/2023,2,2,2,2,2022.0
Emerging Europe,POL,NGDP,Poland,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Polish zloty Data last updated: 09/2023",2288,2338,2631,3078,2022.0
Emerging Europe,POL,NGDPD,Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",596,599,681,691,2022.0
Emerging Europe,POL,PPPEX,Poland,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Europe,POL,NID_NGDP,Poland,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Polish zloty Data last updated: 09/2023",20,19,22,24,2022.0
Emerging Europe,POL,PCPIPCH,Poland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,3,5,14,2022.0
