Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,BFA,NGDPDPC,Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",772,834,892,832,2020.0
Emerging Africa ,BFA,PPPEX,Burkina Faso,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",205,216,205,203,2021.0
Emerging Africa ,BFA,NID_NGDP,Burkina Faso,Total investment,Percent of GDP,,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,26,23,25,15,2021.0
Emerging Africa ,BFA,PCPIPCH,Burkina Faso,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-3,2,4,14,2022.0
Emerging Africa ,BFA,LP,Burkina Faso,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 09/2023,21,22,22,23,2020.0
Emerging Africa ,BDI,NGDPPC,Burundi,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",482223,497734,540649,632611,2021.0
Emerging Africa ,BDI,NGDPDPC,Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",261,260,274,311,2021.0
Emerging Africa ,BDI,PPPEX,Burundi,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",615,644,668,739,2022.0
Emerging Africa ,BDI,NID_NGDP,Burundi,Total investment,Percent of GDP,,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2022. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 09/2023,19,20,22,23,2022.0
Emerging Africa ,BDI,PCPIPCH,Burundi,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-1,7,8,19,2022.0
Emerging Africa ,BDI,LP,Burundi,Population,Persons,Millions,Source: Other Latest actual data: 2021 Primary domestic currency: Burundi franc Data last updated: 09/2023,12,12,12,13,2021.0
Emerging Africa ,CPV,NGDPPC,Cabo Verde,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",402874,324581,341474,423580,2018.0
Emerging Africa ,CPV,NGDPDPC,Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4054,3360,3665,4048,2018.0
Emerging Africa ,CPV,PPPEX,Cabo Verde,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",48,48,46,46,2021.0
Emerging Africa ,CPV,NID_NGDP,Cabo Verde,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2023",33,29,51,48,2021.0
Emerging Africa ,CPV,PCPIPCH,Cabo Verde,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,2,8,2021.0
Emerging Africa ,CPV,LP,Cabo Verde,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2023,1,1,1,1,2018.0
Emerging Africa ,CMR,NGDPPC,Cameroon,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",898258,884751,924093,988378,2022.0
Emerging Africa ,CMR,NGDPDPC,Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1533,1539,1667,1588,2022.0
Emerging Africa ,CMR,PPPEX,Cameroon,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",230,228,226,223,2022.0
Emerging Africa ,CMR,NID_NGDP,Cameroon,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 2016. GDP and components are derived using chained price volumes - components are non-additive Primary domestic currency: CFA franc Data last updated: 09/2023",19,18,18,18,2022.0
Emerging Africa ,CMR,PCPIPCH,Cameroon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,2,6,2022.0
Emerging Africa ,CMR,LP,Cameroon,Population,Persons,Millions,Source: Estimates from UN Population Prospects Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 09/2023,26,27,27,28,2022.0
Emerging Africa ,CAF,NGDPPC,Central African Republic,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",281310,284210,291067,305572,2021.0
Emerging Africa ,CAF,NGDPDPC,Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",480,494,525,491,2021.0
Emerging Africa ,CAF,PPPEX,Central African Republic,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",286,287,284,283,2021.0
Emerging Africa ,CAF,NID_NGDP,Central African Republic,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,15,19,16,15,2021.0
Emerging Africa ,CAF,PCPIPCH,Central African Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,1,4,6,2022.0
Emerging Africa ,CAF,LP,Central African Republic,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2022 Primary domestic currency: CFA franc Data last updated: 08/2023,5,5,5,5,2022.0
Emerging Africa ,TCD,NGDPPC,Chad,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",403867,376396,386326,432331,2019.0
Emerging Africa ,TCD,NGDPDPC,Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",689,655,697,695,2019.0
Emerging Africa ,TCD,PPPEX,Chad,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",243,235,241,251,2021.0
Emerging Africa ,TCD,NID_NGDP,Chad,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,23,23,22,19,2021.0
Emerging Africa ,TCD,PCPIPCH,Chad,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-1,4,-1,6,2021.0
Emerging Africa ,TCD,LP,Chad,Population,Persons,Millions,Source: United Nations World Population Prospects (2019) Latest actual data: 2019 Primary domestic currency: CFA franc Data last updated: 08/2023,16,16,17,17,2019.0
Emerging Africa ,COM,NGDPPC,Comoros,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",597494,585082,579884,604226,2021.0
Emerging Africa ,COM,NGDPDPC,Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1360,1357,1395,1294,2021.0
